"id (S)","created_at (N)","link (S)","price (S)","temp (S)","title (S)"
"thread_498309","1599767426745","https://www.promodescuentos.com/ofertas/pcel-disco-duro-portatil-western-digital-de-4tb-498309","$1,899","1063°","PCEL: Disco duro portátil Western Digital de 4TB"
"thread_502009","1599750627020","https://www.promodescuentos.com/ofertas/epic-games-gratis-railway-empire-y-where-the-water-tastes-like-wine-a-partir-del-10-de-septiembre-502009","true","368°","Epic Games: Gratis Railway Empire y Where The Water Tastes Like Wine (a partir del 10 de septiembre)"
"thread_503782","1599598226564","https://www.promodescuentos.com/ofertas/dead-by-daylight-steam-503782","$72","111°","Dead by Daylight Steam"
"thread_503828","1599598226564","https://www.promodescuentos.com/ofertas/bioshock-infinite-503828","$68","103°","Steam: Bioshock Infinite"
"thread_503843","1599597026585","https://www.promodescuentos.com/ofertas/oferta-en-diferentes-accesorios-samsung-503843","$999","126°","Samsung Store: Oferta en diferentes accesorios"
"thread_503847","1599598226927","https://www.promodescuentos.com/ofertas/linio-patalla-tcl-50-4k-roku-con-paypal-y-banorte-503847","$5,609","184°","Linio: Patalla TCL 50"" 4K Roku (con Paypal y Banorte)"
"thread_503853","1599606626966","https://www.promodescuentos.com/ofertas/sanborns-bocina-stanmore-negro-bt-marshall-con-paypal-y-banorte-503853","$4,400","112°","Sanborns: Bocina Stanmore Negro BT Marshall con PayPal y Banorte"
"thread_503873","1599605426457","https://www.promodescuentos.com/ofertas/iphone-11-14499-503873","$14,499","142°","Sam's Club: Iphone 11 $14499"
"thread_503891","1599605426455","https://www.promodescuentos.com/ofertas/ebay-jabra-elite-65t-titanio-negro-true-wireless-inalambricos-fabricante-reformado-503891","$862","true","eBay: Jabra Elite 65t Titanio Negro true wireless Inalámbricos (fabricante reformado)"
"thread_503909","1599618626773","https://www.promodescuentos.com/ofertas/mi-band-5-global-503909","$523","105°","Aliexpresss: Xiaomi Mi band 5"
"thread_503924","1599630626839","https://www.promodescuentos.com/ofertas/pmi-acp-certification-adopting-an-agile-approach-y-google-analytics-reporting-with-google-data-studio-503924","GRATIS","101°","Udemy: PMI-ACP Certification: Adopting an Agile Approach y Google Analytics Reporting with Google Data Studio"
"thread_503931","1599612626114","https://www.promodescuentos.com/ofertas/costco-mac-pro-13-cupon-paypal-banorte-5000-mil-descuento-a-12-msi-503931","$25,399","165°","COSTCO: Mac pro 13"" + cupon + paypal + banorte (5000 mil descuento) a 12 MSI"
"thread_503963","1599628225508","https://www.promodescuentos.com/ofertas/walmart-pilas-atvio-cr2025-503963","$15","108°","Walmart: Pilas ATVIO CR2025"
"thread_503965","1599618626773","https://www.promodescuentos.com/ofertas/waltmart-irapuato-sony-srs-xb21-503965","$1,060","115°","Waltmart Irapuato: Bocina Sony SRS-XB21"
"thread_503978","1599622226826","https://www.promodescuentos.com/ofertas/final-fantasy-lightning-returns-503978","$20","138°","Game Planet: Final fantasy lightning returns para PS3"
"thread_503979","1599619827019","https://www.promodescuentos.com/ofertas/costco-macbook-air-2020-8gb-ram-256gb-ssd-con-banorte-503979","$19,379","116°","COSTCO: MacBook Air 2020 8GB RAM 256GB SSD Con Banorte"
"thread_503986","1599625826785","https://www.promodescuentos.com/ofertas/gtx-1650-super-pny-503986","$4,100","100°","Linio: Tarjeta de video GTX 1650 SUPER PNY"
"thread_504016","1599627027120","https://www.promodescuentos.com/ofertas/audifonos-hp-over-ear-omen-800-gaming-negros-504016","$930","168°","Liverpool: Audífonos HP over-ear Omen 800 Gaming negros"
"thread_504030","1599649825846","https://www.promodescuentos.com/ofertas/redmi-9-dual-4gb-ram-64gb-almacenamiento-504030","$2,996","106°","Tienda oficial de Compuprice en Mercado Libre: XIAOMI REDMI 9 DUAL 4GB/64GB"
"thread_504043","1599664226991","https://www.promodescuentos.com/ofertas/humble-totally-tropico-bundle-504043","$22","117°","HUMBLE BUNDLE: TOTALLY TROPICO BUNDLE"
"thread_504061","1599664225595","https://www.promodescuentos.com/ofertas/costcosamsung-monitor-gaming-qled-27-curva-paypalbanorte-504061","$5,694","135°","Costco:Samsung, Monitor Gaming QLED 27"" Curva con Quantum Dot (Paypal+Banorte)"
